name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zipcode,2020_Number_of_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Median_Value,2020_Median_Monthly Costs,2020_Median_Rent,2020_Owner_Occupied_Units,2015_Number_of_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Median_Value,2015_Median_Monthly Costs,2015_Median_Rent,2015_Owner_Occupied_Units,2020_Median_Household_Income,2020_Median_Family_Income,2015_Median_Household_Income,2015_Median_Family_Income
Eastwood Heights BlueSky Room- Private room,33524881,Keith,,Near East,39.96936,-82.96413,Private room,46,5,39,2022-08-29,0.51,3,57,8,2019-1531,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Welcome! Share my home on Columbus's Westside :),74207205,Katy,,Far West,40.00983,-83.14662,Private room,58,3,83,2022-08-07,1.1,2,352,16,2019-1434,43026,"24,669","24,166",503,6.1,"234,700","1,774","1,166","16,882","22,715","21,992",723,6.0,"184,200","1,628",856,"16,030","93,036","107,708","77,013","95,009"
★2 Bed★Heart of OSU★Mapfre★Laundry★Loft★Walk/Bus★,41002453,Jerry,,Near North/University,40.00939,-82.99704,Private room,51,2,519,2022-09-12,6.79,15,357,52,2019-1831,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
★OSU★Mapfre★Laundry★Bus/walk★Renovated★★ Laundry★,41002453,Jerry,,Near North/University,40.00843,-82.99905,Private room,84,2,291,2022-09-16,3.94,15,359,39,2019-1831,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Eastwood Heights New Horizons Room,33524881,Keith,,Near East,39.96939,-82.96472,Private room,36,3,16,2022-08-24,0.42,3,46,8,2019-1531,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Home Away From Home/Private Deck/Yard/Pets Welcome,7114846,Jan,,West Olentangy,40.039116,-83.032127,Entire home/apt,110,2,260,2022-09-19,3.51,1,76,34,2019-2213,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Clintonville Charmer Room 1 (Has Animals),80461847,Cameron,,Near North/University,40.01115,-82.99838,Private room,45,1,131,2022-06-05,1.75,2,0,9,2019-1975,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Private Room and Bathroom.,17476820,Chuan En,,Northland,40.10171,-82.98133,Private room,40,2,199,2022-09-04,2.64,1,41,28,2019-1849,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
"Rustic Townhouse by Mapfre, Osu, Short North & Downtown",1395861,Happy To Host,,Near North/University,40.01891,-82.99861,Entire home/apt,212,2,232,2022-09-18,3.15,4,327,35,2019-1508,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Short North Carriage House,483306,Audra & Lacey,,Near North/University,39.98459,-83.00228,Entire home/apt,127,1,723,2022-09-14,9.85,3,166,121,2022-2486,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Cozy Short North Studio Close to OSU,14759634,Leisa,,Near North/University,39.98811,-83.01074,Entire home/apt,54,31,147,2019-11-17,1.97,1,170,0,2019-2921,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Private Room 15 min To Airport !!,87368949,Juliana,,Far East,39.98938,-82.83676,Private room,70,1,359,2022-09-18,6.38,3,361,69,2019-1306,43213,"15,451","14,163","1,288",4.8,"125,600","1,135",872,"5,289","15,665","13,916","1,749",4.8,"97,700","1,112",771,"4,688","43,989","52,344","34,610","37,801"
Cozy bedroom in heart of the city. Monthly welcome,88006238,Robert And Bonnie,,Near East,39.97486,-82.94964,Private room,27,28,47,2021-09-30,0.75,4,109,1,2019-1294,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Lower level Studio Apt in residential home,18169804,Teresa,,Far South,39.90341,-82.98693,Private room,35,30,2,2022-08-08,0.51,1,275,2,,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
The Victorian Charmer | Short North Arts District,52174539,Kate & Nat,,Near North/University,39.98317,-83.01092,Entire home/apt,49,30,10,2022-09-15,0.14,25,179,2,,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
★Queen Bed★Walk to OSU★Kitchen★Renovated★Bus★,41002453,Jerry,,Near North/University,40.00843,-82.99905,Private room,73,2,320,2022-08-11,4.33,15,338,48,2019-1831,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
★Restored★Laundry ★FreeParking★OSU★Bus/Walk★2Bath★,41002453,Jerry,,Near North/University,40.00843,-82.99905,Private room,52,2,341,2022-09-17,4.61,15,359,47,2019-1831,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Safe at Night - Columbus/Grandview 2 Bedroom Condo,90210454,Lana,,West Olentangy,39.98026,-83.03441,Entire home/apt,136,1,1,2022-09-19,1,1,362,1,,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
Sweet Little Room in Quiet Neighborhood,93547897,Chantal-Marie,,Northland,40.102318,-82.979515,Private room,40,7,192,2022-09-03,3.01,3,38,10,2021-3024,43229,"22,593","21,343","1,250",5.0,"143,000","1,232",879,"8,495","22,243","20,011","2,232",5.1,"120,000","1,201",763,"8,149","44,804","51,324","38,004","45,185"
"Iuka II, 4BR 2.5B, Parking, 1600 sqft RoweRentals",27439453,Ingrid & Mike,,Near North/University,40.00689,-82.99896,Entire home/apt,159,1,186,2022-09-09,2.59,12,327,31,2019-1706,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Beautiful spacious suite with gym.,42144583,Jason,,Near North/University,39.98391,-82.99771,Private room,69,1,158,2022-09-18,2.17,1,339,51,2019-1284,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Spacious 1 Bedroom Apartment Near OSU and Downtown,94666498,Corey,,Near North/University,39.99795,-82.99956,Entire home/apt,71,1,68,2021-10-24,0.94,1,0,2,2019-2491,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Unique Short North 4 BR 2.5 B 2100sqft RoweRentals,27439453,Ingrid & Mike,,Near North/University,39.97937,-83.00123,Entire home/apt,239,1,260,2022-09-04,3.56,12,315,49,2021-3073,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
"Sweet Suite in Historic Woodland Park, downtown",28929522,Annette And TJ,,Near East,39.96978,-82.95881,Entire home/apt,145,6,43,2022-08-20,0.59,1,212,3,2019-2049,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Charming 1 Bedroom/Studio w/ Parking,26740496,Samantha,,Clintonville,40.07579,-83.0174,Entire home/apt,60,1,84,2022-09-05,10.16,1,163,84,,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
German Village Gem!,97433871,Michael,,Near South,39.95035,-82.98907,Entire home/apt,115,1,11,2021-07-31,0.69,1,0,0,2021-1054,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
"Private clean, quite room and bath in a safe area.",98453972,Johnny & Lisa,,Far North,40.11753,-82.97726,Private room,41,3,46,2021-08-07,0.68,1,205,0,,43085,"10,514","10,115",399,6.4,"274,300","1,794","1,150","7,236","10,504","10,211",293,6.4,"220,200","1,607","1,009","7,376","93,953","114,258","76,190","95,938"
"Beautiful Bexley Home, Perfect for Families!",19901046,Steven,,Eastmoor/Walnut Ridge,39.95862,-82.93405,Entire home/apt,289,2,10,2022-06-24,0.14,1,4,1,,43209,"12,965","11,990",975,5.8,"284,300","1,780",885,"6,785","12,594","11,566","1,028",5.7,"206,000","1,594",790,"6,527","69,290","102,500","53,134","88,976"
Converted Historic Railroad House,92809656,Anthony,,Near South,39.93438,-82.99214,Entire home/apt,90,1,215,2022-09-18,2.99,1,336,44,2019-2922,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
Relaxing Extended Stay Space,29129391,Jason,,Near East,39.97323,-82.9573,Private room,73,1,73,2022-09-11,1.02,2,317,7,2019-1818,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Columbus Comfort. Close to all top attractions!!,57247068,Rue,,Hilltop,39.94995,-83.0804,Entire home/apt,311,2,129,2022-09-04,2.11,1,347,20,2019-1863,43204,"19,186","17,220","1,966",5.4,"117,300","1,102",935,"8,651","19,255","15,560","3,695",5.5,"98,300","1,087",855,"7,550","48,770","55,405","40,729","45,090"
Short North Apartment just steps from ~EVERYTHING!,4418841,Anton,,Near North/University,39.98652,-83.00743,Entire home/apt,87,30,130,2022-08-31,1.82,3,300,6,2019-1892,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Safe, Roomy, Dog Friendly Studio w/ salt spa visit",877959,Elizabeth,,Clintonville,40.03789,-83.01618,Entire home/apt,65,2,90,2020-03-15,1.27,1,169,0,2019-1297,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Guest Suite @ OSU & Short North Arts District,52174539,Kate & Nat,,Near North/University,39.98939,-83.01006,Entire home/apt,56,2,445,2022-09-09,6.47,25,173,27,2021-3229,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Sleeping in the City,103700433,Erin,,Downtown,39.95796,-82.99396,Entire home/apt,100,1,230,2022-08-28,3.28,3,78,25,2019-2195,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Pristine Clean--Book Entire House or Book Bedroom,103896042,Marlene,,Hayden Run,40.06991,-83.17337,Private room,134,1,264,2022-09-18,3.74,1,134,41,2019-1761,43016,"16,442","15,402","1,040",5.3,"329,200","2,286","1,204","8,160","14,399","13,978",421,5.8,"255,100","2,149","1,072","7,790","93,056","122,970","87,158","105,824"
Home great for relaxing,104357124,David,,Northeast,40.02934,-82.9327,Entire home/apt,211,1,3,2022-09-18,2.81,1,353,3,,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Olde Towne East Historical Home,105433925,Fitumi,,Near East,39.95516,-82.96894,Entire home/apt,380,2,52,2022-09-05,1.21,14,124,34,2021-2620,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
A Zen Art Oasis - Private Guest Room,32264522,SueB,,Near North/University,39.98234,-83.01168,Private room,125,2,53,2020-08-09,0.76,1,0,0,2019-1872,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Chic Studio in Historic Building by German Village,106558116,Natalia,,Near South,39.94374,-82.98396,Entire home/apt,90,1,221,2022-09-04,3.17,1,2,14,,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Conveniently located studio apartment,107079813,Andrew,,Far Northwest,40.09135,-83.06617,Entire home/apt,65,2,245,2022-09-04,3.54,2,339,48,,43235,"19,512","18,505","1,007",5.5,"256,900","1,800","1,178","10,358","18,929","17,941",988,5.3,"211,900","1,646",962,"9,405","77,951","106,974","66,141","85,202"
"Charming Studio In Gahanna, Near Columbus & Intel",15683090,John Michael,,Northeast,40.01955,-82.86226,Private room,88,1,85,2022-09-04,1.25,3,90,9,,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
Canal Winchester! Safe and clean!!,14439218,Liz,,Southeast,39.86121,-82.81356,Entire home/apt,70,1,98,2022-09-11,1.52,1,154,19,,43110,"16,476",s,692,5.5,"182,000","1,459",998,"9,310","14,378","13,253","1,125",5.6,"157,200","1,480",890,"8,531","62,489","82,516","65,933","77,562"
Conveniently located 1-bed apartment,107079813,Andrew,,Far Northwest,40.09172,-83.06769,Entire home/apt,89,2,156,2022-09-05,2.26,2,337,28,,43235,"19,512","18,505","1,007",5.5,"256,900","1,800","1,178","10,358","18,929","17,941",988,5.3,"211,900","1,646",962,"9,405","77,951","106,974","66,141","85,202"
Taste the REIGNbow,16184897,Toya,,South Linden,40.00724,-82.97547,Entire home/apt,85,1,52,2021-09-17,0.75,5,171,0,2019-2083,43211,"10,296","8,714","1,582",5.2,"58,200",795,871,"3,464","10,527","8,079","2,448",5.3,"57,500",853,762,"3,022","28,610","32,010","23,710","25,253"
"Master Suite w/ Kitchenette. Gahanna, near airport",109361777,Hanief,,Northeast,40.0248,-82.8686,Entire home/apt,75,1,44,2022-06-22,0.79,1,0,2,,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
The Gallery (Short North/OSU/Downtown),39185455,Deanna,,Near North/University,39.98846,-83.0073,Entire home/apt,73,1,423,2022-09-17,6.46,1,313,94,2019-1326,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Cozy home close to downtown and German Village,1794987,Sid,,Near South,39.93175,-82.99394,Private room,56,1,0,,,1,164,0,,43207,"20,799","18,656","2,143",5.4,"102,700","1,087",908,"11,435","20,172","17,185","2,987",5.3,"84,600","1,039",821,"9,933","50,582","62,298","38,842","45,006"
3rd Floor Suite in Historic Home on Goodale Park,114502307,Jeff,,Near North/University,39.97792,-83.00915,Entire home/apt,158,2,158,2022-09-19,2.34,2,138,31,2021-2875,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Loft Carriage House—Short North/Convention Center,116400313,Nate,,Near North/University,39.97668,-83.0067,Entire home/apt,205,2,106,2022-08-29,1.58,25,166,20,2021-2797,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
"Urban II, 3 Bed, 1 Bath, Free Parking -RoweRentals",27439453,Ingrid & Mike,,Near North/University,39.98822,-83.00088,Entire home/apt,102,1,346,2022-09-09,5.11,12,331,77,2021-3066,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
German Village -  Beakerloo Apt B,42309439,Lucy & Brent,,Near South,39.94368,-82.99245,Entire home/apt,87,2,219,2022-09-17,3.24,3,322,42,2019-1430,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Serenity on the lake - Private bed & bath,12433449,Linda,,Far North,40.11211,-82.9139,Private room,102,2,236,2022-09-15,3.66,1,73,46,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
"Style & Comfort In Gahanna, Near Columbus & Intel",15683090,John Michael,,Northeast,40.02003,-82.86171,Private room,95,1,59,2022-09-18,0.88,3,88,22,,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
Quiet A-Frame: length-of-stay discounts offered!,69202769,Erick,,West Olentangy,40.03579,-83.09166,Private room,120,30,19,2019-11-02,0.29,1,263,0,,43220,"13,160","12,475",685,5.4,"355,500","2,139","1,032","6,259","12,754","11,857",897,5.6,"257,600","1,720",864,"6,536","70,167","113,666","60,412","92,072"
Short North 4 Bedroom House,28695156,Miles,,Near North/University,39.97913,-83.00109,Entire home/apt,364,1,88,2022-08-14,1.35,3,347,12,2019-1840,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Private queen bedroom 2 - N. Campus,2350409,Edward,,Near North/University,40.01063,-83.00838,Private room,39,3,26,2022-09-12,0.4,3,274,10,2019-1344,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Short North Studio Apt. w/Off-street Parking,71666929,August,,Near North/University,39.9831,-83.00663,Entire home/apt,87,7,389,2022-08-17,6.47,3,344,7,2019-1961,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
City Vibe (Short North/Victorian Village),51970180,Eric,,Near North/University,39.97709,-83.00892,Private room,89,1,238,2022-09-17,3.69,1,116,53,2019-0789,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Grandview Post-War Charmer,106768476,Tom And Sara,,West Olentangy,39.99031,-83.03687,Entire home/apt,132,2,246,2022-09-08,3.78,1,117,50,2019-1244,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
"Modern Ranch, WiFi, Garage, 55""TV, Roku, Huge Yard",33532441,Alex,,Eastmoor/Walnut Ridge,39.93966,-82.91436,Entire home/apt,121,2,141,2022-09-14,2.17,4,311,25,2019-1737,43227,"10,659","9,751",908,5.3,"86,300",922,898,"4,742","10,291","8,841","1,450",5.2,"80,300","1,020",777,"4,483","40,353","46,072","34,483","38,807"
Ramona's Hideaway,114371691,Tim,,Near East,39.96068,-82.98104,Entire home/apt,159,1,184,2021-11-21,2.9,1,29,7,2019-1285,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Goodale Park Carriage House - heart of Short North,114502307,Jeff,,Near North/University,39.978,-83.00951,Entire home/apt,131,1,396,2022-09-19,6.19,2,317,80,2021-2876,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
